"lat","long","depth","mag","stations","letters"
-17.93,167.89, 49,5.1, 43,"v"
-19.30,183.84,517,4.2, 21,"w"
-26.53,178.57,600,5.0, 69,"x"
-27.72,181.70, 94,4.8, 59,"y"
-19.19,183.51,307,4.3, 19,"z"
-17.43,185.43,189,4.5, 22,"a"
-17.05,181.22,527,4.2, 24,"b"
-19.52,168.98, 63,4.5, 21,"c"
-23.71,180.30,510,4.6, 30,"d"
-21.30,180.82,624,4.3, 14,"e"
-16.24,168.02, 53,4.7, 12,"f"
-16.14,187.32, 42,5.1, 68,"g"
-23.95,182.80,199,4.6, 14,"h"
-25.20,182.60,149,4.9, 31,"i"
-18.84,184.16,210,4.2, 17,"j"
-12.66,169.46,658,4.6, 43,"k"
-20.65,181.40,582,4.0, 14,"l"
-13.23,167.10,220,5.0, 46,"m"
-29.91,181.43,205,4.4, 34,"n"
-14.31,173.50,614,4.2, 23,"o"
-20.10,184.40,186,4.2, 10,"p"
-17.80,185.17, 97,4.4, 22,"q"
-21.27,173.49, 48,4.9, 42,"r"
-23.58,180.17,462,5.3, 63,"s"
-17.90,181.50,573,4.0, 19,"t"
-23.34,184.50, 56,5.7,106,"u"
-15.56,167.62,127,6.4,122,"v"
-23.83,182.56,229,4.3, 24,"w"
-11.80,165.80,112,4.2, 20,"x"
-15.54,167.68,140,4.7, 16,"y"
-20.65,181.32,597,4.7, 39,"z"
-11.75,166.07, 69,4.2, 14,"a"
-24.81,180.00,452,4.3, 19,"b"
-20.90,169.84, 93,4.9, 31,"c"
-11.34,166.24,103,4.6, 30,"d"
-17.98,180.50,626,4.1, 19,"e"
-24.34,179.52,504,4.8, 34,"f"
-13.86,167.16,202,4.6, 30,"g"
-35.56,180.20, 42,4.6, 32,"h"
-35.48,179.90, 59,4.8, 35,"i"
-34.20,179.43, 40,5.0, 37,"j"
-26.00,182.12,205,5.6, 98,"k"
-19.89,183.84,244,5.3, 73,"l"
-23.43,180.00,553,4.7, 41,"m"
-18.89,169.42,239,4.5, 27,"n"
-17.82,181.83,640,4.3, 24,"o"
-25.68,180.34,434,4.6, 41,"p"
-20.20,180.90,627,4.1, 11,"q"
-15.20,184.68, 99,4.1, 14,"r"
-15.03,182.29,399,4.1, 10,"s"
-32.22,180.20,216,5.7, 90,"t"
-22.64,180.64,544,5.0, 50,"u"
-17.42,185.16,206,4.5, 22,"v"
-17.84,181.48,542,4.1, 20,"w"
-15.02,184.24,339,4.6, 27,"x"
-18.04,181.75,640,4.5, 47,"y"
-24.60,183.50, 67,4.3, 25,"z"
-19.88,184.30,161,4.4, 17,"a"
-20.30,183.00,375,4.2, 15,"b"
-20.45,181.85,534,4.1, 14,"c"
-17.67,187.09, 45,4.9, 62,"d"
-22.30,181.90,309,4.3, 11,"e"
-19.85,181.85,576,4.9, 54,"f"
-24.27,179.88,523,4.6, 24,"g"
-15.85,185.13,290,4.6, 29,"h"
-20.02,184.09,234,5.3, 71,"i"
-18.56,169.31,223,4.7, 35,"j"
-17.87,182.00,569,4.6, 12,"k"
-24.08,179.50,605,4.1, 21,"l"
-32.20,179.61,422,4.6, 41,"m"
-20.36,181.19,637,4.2, 23,"n"
-23.85,182.53,204,4.6, 27,"o"
-24.00,182.75,175,4.5, 14,"p"
-20.41,181.74,538,4.3, 31,"q"
-17.72,180.30,595,5.2, 74,"r"
-19.67,182.18,360,4.3, 23,"s"
-17.70,182.20,445,4.0, 12,"t"
-16.23,183.59,367,4.7, 35,"u"
-26.72,183.35,190,4.5, 36,"v"
-12.95,169.09,629,4.5, 19,"w"
-21.97,182.32,261,4.3, 13,"x"
-21.96,180.54,603,5.2, 66,"y"
-20.32,181.69,508,4.5, 14,"z"
-30.28,180.62,350,4.7, 32,"a"
-20.20,182.30,533,4.2, 11,"b"
-30.66,180.13,411,4.7, 42,"c"
-16.17,184.10,338,4.3, 13,"d"
-28.25,181.71,226,4.1, 19,"e"
-20.47,185.68, 93,5.4, 85,"f"
-23.55,180.27,535,4.3, 22,"g"
-20.94,181.58,573,4.3, 21,"h"
-26.67,182.40,186,4.2, 17,"i"
-18.13,181.52,618,4.6, 41,"j"
-20.21,183.83,242,4.4, 29,"k"
-18.31,182.39,342,4.2, 14,"l"
-16.52,185.70, 90,4.7, 30,"m"
-22.36,171.65,130,4.6, 39,"n"
-22.43,184.48, 65,4.9, 48,"o"
-20.37,182.10,397,4.2, 22,"p"
-23.77,180.16,505,4.5, 26,"q"
-13.65,166.66, 71,4.9, 52,"r"
-21.55,182.90,207,4.2, 18,"s"
-16.24,185.75,154,4.5, 22,"t"
-23.73,182.53,232,5.0, 55,"u"
-22.34,171.52,106,5.0, 43,"v"
-19.40,180.94,664,4.7, 34,"w"
-24.64,180.81,397,4.3, 24,"x"
-16.00,182.82,431,4.4, 16,"y"
-19.62,185.35, 57,4.9, 31,"z"
-23.84,180.13,525,4.5, 15,"a"
-23.54,179.93,574,4.0, 12,"b"
-28.23,182.68, 74,4.4, 20,"c"
-21.68,180.63,617,5.0, 63,"d"
-13.44,166.53, 44,4.7, 27,"e"
-24.96,180.22,470,4.8, 41,"f"
-20.08,182.74,298,4.5, 33,"g"
-24.36,182.84,148,4.1, 16,"h"
-14.70,166.00, 48,5.3, 16,"i"
-18.20,183.68,107,4.8, 52,"j"
-16.65,185.51,218,5.0, 52,"k"
-18.11,181.67,597,4.6, 28,"l"
-17.95,181.65,619,4.3, 26,"m"
-15.50,186.90, 46,4.7, 18,"n"
-23.36,180.01,553,5.3, 61,"o"
-19.15,169.50,150,4.2, 12,"p"
-10.97,166.26,180,4.7, 26,"q"
-14.85,167.24, 97,4.5, 26,"r"
-17.80,181.38,587,5.1, 47,"s"
-22.50,170.40,106,4.9, 38,"t"
-29.10,182.10,179,4.4, 19,"u"
-20.32,180.88,680,4.2, 22,"v"
-16.09,184.89,304,4.6, 34,"w"
-19.18,169.33,254,4.7, 35,"x"
-23.81,179.36,521,4.2, 23,"y"
-23.79,179.89,526,4.9, 43,"z"
-19.02,184.23,270,5.1, 72,"a"
-20.90,181.51,548,4.7, 32,"b"
-19.06,169.01,158,4.4, 10,"c"
-17.88,181.47,562,4.4, 27,"d"
-19.41,183.05,300,4.2, 16,"e"
-26.17,184.20, 65,4.9, 37,"f"
-14.95,167.24,130,4.6, 16,"g"
-18.73,168.80, 82,4.4, 14,"h"
-20.21,182.37,482,4.6, 37,"i"
-21.29,180.85,607,4.5, 23,"j"
-19.76,181.41,105,4.4, 15,"k"
-22.09,180.38,590,4.9, 35,"l"
-23.80,179.90,498,4.1, 12,"m"
-20.16,181.99,504,4.2, 11,"n"
-22.13,180.38,577,5.7,104,"o"
-17.44,181.40,529,4.6, 25,"p"
-23.33,180.18,528,5.0, 59,"q"
-24.78,179.22,492,4.3, 16,"r"
-22.00,180.52,561,4.5, 19,"s"
-19.13,182.51,579,5.2, 56,"t"
-30.72,180.10,413,4.4, 22,"u"
-22.32,180.54,565,4.2, 12,"v"
-16.45,177.77,138,4.6, 17,"w"
-17.70,185.00,383,4.0, 10,"x"
-17.95,184.68,260,4.4, 21,"y"
-24.40,179.85,522,4.7, 29,"z"
-19.30,180.60,671,4.2, 16,"a"
-21.13,185.32,123,4.7, 36,"b"
-18.07,181.57,572,4.5, 26,"c"
-20.60,182.28,529,5.0, 50,"d"
-18.48,181.49,641,5.0, 49,"e"
-13.34,166.20, 67,4.8, 18,"f"
-20.92,181.50,546,4.6, 31,"g"
-25.31,179.69,507,4.6, 35,"h"
-15.24,186.21,158,5.0, 57,"i"
-16.40,185.86,148,5.0, 47,"j"
-24.57,178.40,562,5.6, 80,"k"
-17.94,181.51,601,4.0, 16,"l"
-30.64,181.20,175,4.0, 16,"m"
-18.64,169.32,260,4.6, 23,"n"
-13.09,169.28,654,4.4, 22,"o"
-19.68,184.14,242,4.8, 40,"p"
-16.44,185.74,126,4.7, 30,"q"
-21.09,181.38,555,4.6, 15,"r"
-14.99,171.39,637,4.3, 21,"s"
-23.30,179.70,500,4.7, 29,"t"
-17.68,181.36,515,4.1, 19,"u"
-22.00,180.53,583,4.9, 20,"v"
-21.38,181.39,501,4.6, 36,"w"
-32.62,181.50, 55,4.8, 26,"x"
-13.05,169.58,644,4.9, 68,"y"
-12.93,169.63,641,5.1, 57,"z"
-18.60,181.91,442,5.4, 82,"a"
-21.34,181.41,464,4.5, 21,"b"
-21.48,183.78,200,4.9, 54,"c"
-17.40,181.02,479,4.4, 14,"d"
-17.32,181.03,497,4.1, 13,"e"
-18.77,169.24,218,5.3, 53,"f"
-26.16,179.50,492,4.5, 25,"g"
-12.59,167.10,325,4.9, 26,"h"
-14.82,167.32,123,4.8, 28,"i"
-21.79,183.48,210,5.2, 69,"j"
-19.83,182.04,575,4.4, 23,"k"
-29.50,182.31,129,4.4, 14,"l"
-12.49,166.36, 74,4.9, 55,"m"
-26.10,182.30, 49,4.4, 11,"n"
-21.04,181.20,483,4.2, 10,"o"
-10.78,165.77, 93,4.6, 20,"p"
-20.76,185.77,118,4.6, 15,"q"
-11.41,166.24, 83,5.3, 55,"r"
-19.10,183.87, 61,5.3, 42,"s"
-23.91,180.00,534,4.5, 11,"t"
-27.33,182.60, 42,4.4, 11,"u"
-12.25,166.60,219,5.0, 28,"v"
-23.49,179.07,544,5.1, 58,"w"
-27.18,182.18, 56,4.5, 14,"x"
-25.80,182.10, 68,4.5, 26,"y"
-27.19,182.18, 69,5.4, 68,"z"
-27.27,182.38, 45,4.5, 16,"a"
-27.10,182.18, 43,4.7, 17,"b"
-27.22,182.28, 65,4.2, 14,"c"
-27.38,181.70, 80,4.8, 13,"d"
-27.27,182.50, 51,4.5, 13,"e"
-27.54,182.50, 68,4.3, 12,"f"
-27.20,182.39, 69,4.3, 14,"g"
-27.71,182.47,103,4.3, 11,"h"
-27.60,182.40, 61,4.6, 11,"i"
-27.38,182.39, 69,4.5, 12,"j"
-21.54,185.48, 51,5.0, 29,"k"
-27.21,182.43, 55,4.6, 10,"l"
-28.96,182.61, 54,4.6, 15,"m"
-12.01,166.29, 59,4.9, 27,"n"
-17.46,181.32,573,4.1, 17,"o"
-30.17,182.02, 56,5.5, 68,"p"
-27.27,182.36, 65,4.7, 21,"q"
-17.79,181.32,587,5.0, 49,"r"
-22.19,171.40,150,5.1, 49,"s"
-17.10,182.68,403,5.5, 82,"t"
-27.18,182.53, 60,4.6, 21,"u"
-11.64,166.47,130,4.7, 19,"v"
-17.98,181.58,590,4.2, 14,"w"
-16.90,185.72,135,4.0, 22,"x"
-21.98,179.60,583,5.4, 67,"y"
-32.14,179.90,406,4.3, 19,"z"
-18.80,169.21,221,4.4, 16,"a"
-26.78,183.61, 40,4.6, 22,"b"
-20.43,182.37,502,5.1, 48,"c"
-18.30,183.20,103,4.5, 14,"d"
-15.83,182.51,423,4.2, 21,"e"
-23.44,182.93,158,4.1, 20,"f"
-23.73,179.99,527,5.1, 49,"g"
-19.89,184.08,219,5.4,105,"h"
-17.59,181.09,536,5.1, 61,"i"
-19.77,181.40,630,5.1, 54,"j"
-20.31,184.06,249,4.4, 21,"k"
-15.33,186.75, 48,5.7,123,"l"
-18.20,181.60,553,4.4, 14,"m"
-15.36,186.66,112,5.1, 57,"n"
-15.29,186.42,153,4.6, 31,"o"
-15.36,186.71,130,5.5, 95,"p"
-16.24,167.95,188,5.1, 68,"q"
-13.47,167.14,226,4.4, 26,"r"
-25.50,182.82,124,5.0, 25,"s"
-14.32,167.33,204,5.0, 49,"t"
-20.04,182.01,605,5.1, 49,"u"
-28.83,181.66,221,5.1, 63,"v"
-17.82,181.49,573,4.2, 14,"w"
-27.23,180.98,401,4.5, 39,"x"
-10.72,165.99,195,4.0, 14,"y"
-27.00,183.88, 56,4.9, 36,"z"
-20.36,186.16,102,4.3, 21,"a"
-27.17,183.68, 44,4.8, 27,"b"
-20.94,181.26,556,4.4, 21,"c"
-17.46,181.90,417,4.2, 14,"d"
-21.04,181.20,591,4.9, 45,"e"
-23.70,179.60,646,4.2, 21,"f"
-17.72,181.42,565,5.3, 89,"g"
-15.87,188.13, 52,5.0, 30,"h"
-17.84,181.30,535,5.7,112,"i"
-13.45,170.30,641,5.3, 93,"j"
-30.80,182.16, 41,4.7, 24,"k"
-11.63,166.14,109,4.6, 36,"l"
-30.40,181.40, 40,4.3, 17,"m"
-26.18,178.59,548,5.4, 65,"n"
-15.70,184.50,118,4.4, 30,"o"
-17.95,181.50,593,4.3, 16,"p"
-20.51,182.30,492,4.3, 23,"q"
-15.36,167.51,123,4.7, 28,"r"
-23.61,180.23,475,4.4, 26,"s"
-33.20,181.60,153,4.2, 21,"t"
-17.68,186.80,112,4.5, 35,"u"
-22.24,184.56, 99,4.8, 57,"v"
-20.07,169.14, 66,4.8, 37,"w"
-25.04,180.10,481,4.3, 15,"x"
-21.50,185.20,139,4.4, 15,"y"
-14.28,167.26,211,5.1, 51,"z"
-14.43,167.26,151,4.4, 17,"a"
-32.70,181.70,211,4.4, 40,"b"
-34.10,181.80,246,4.3, 23,"c"
-19.70,186.20, 47,4.8, 19,"d"
-24.19,180.38,484,4.3, 27,"e"
-26.60,182.77,119,4.5, 29,"f"
-17.04,186.80, 70,4.1, 22,"g"
-22.10,179.71,579,5.1, 58,"h"
-32.60,180.90, 57,4.7, 44,"i"
-33.00,182.40,176,4.6, 28,"j"
-20.58,181.24,602,4.7, 44,"k"
-20.61,182.60,488,4.6, 12,"l"
-19.47,169.15,149,4.4, 15,"m"
-17.47,180.96,546,4.2, 23,"n"
-18.40,183.40,343,4.1, 10,"o"
-23.33,180.26,530,4.7, 22,"p"
-18.55,182.23,563,4.0, 17,"q"
-26.16,178.47,537,4.8, 33,"r"
-21.80,183.20,325,4.4, 19,"s"
-27.63,182.93, 80,4.3, 14,"t"
-18.89,169.48,259,4.4, 21,"u"
-20.30,182.30,476,4.5, 10,"v"
-20.56,182.04,499,4.5, 29,"w"
-16.10,185.32,257,4.7, 30,"x"
-12.66,166.37,165,4.3, 18,"y"
-21.05,184.68,136,4.7, 29,"z"
-17.97,168.52,146,4.8, 33,"a"
-19.83,182.54,524,4.6, 14,"b"
-22.55,183.81, 82,5.1, 68,"c"
-22.28,183.52, 90,4.7, 19,"d"
-15.72,185.64,138,4.3, 21,"e"
-20.85,181.59,499,5.1, 91,"f"
-21.11,181.50,538,5.5,104,"g"
-25.31,180.15,467,4.5, 25,"h"
-26.46,182.50,184,4.3, 11,"i"
-24.09,179.68,538,4.3, 21,"j"
-16.96,167.70, 45,4.7, 23,"k"
-23.19,182.80,237,4.3, 18,"l"
-20.81,184.70,162,4.3, 20,"m"
-15.03,167.32,136,4.6, 20,"n"
-18.06,181.59,604,4.5, 23,"o"
-19.00,185.60,107,4.5, 15,"p"
-23.53,179.99,538,5.4, 87,"q"
-18.18,180.63,639,4.6, 39,"r"
-15.66,186.80, 45,4.4, 11,"s"
-18.00,180.62,636,5.0,100,"t"
-18.08,180.70,628,5.2, 72,"u"
-18.05,180.86,632,4.4, 15,"v"
-29.90,181.16,215,5.1, 51,"w"
-20.90,181.90,556,4.4, 17,"x"
-15.61,167.50,135,4.4, 21,"y"
-16.03,185.43,297,4.8, 25,"z"
-17.68,181.11,568,4.4, 22,"a"
-31.94,180.57,168,4.7, 39,"b"
-19.14,184.36,269,4.7, 31,"c"
-18.00,185.48,143,4.4, 29,"d"
-16.95,185.94, 95,4.3, 12,"e"
-10.79,166.06,142,5.0, 40,"f"
-20.83,185.90,104,4.5, 19,"g"
-32.90,181.60,169,4.6, 27,"h"
-37.93,177.47, 65,5.4, 65,"i"
-29.09,183.20, 54,4.6, 23,"j"
-23.56,180.23,474,4.5, 13,"k"
-19.60,185.20,125,4.4, 13,"l"
-21.39,180.68,617,4.5, 18,"m"
-14.85,184.87,294,4.1, 10,"n"
-22.70,183.30,180,4.0, 13,"o"
-32.42,181.21, 47,4.9, 39,"p"
-17.90,181.30,593,4.1, 13,"q"
-23.58,183.40, 94,5.2, 79,"r"
-34.40,180.50,201,4.4, 41,"s"
-17.61,181.20,537,4.1, 11,"t"
-21.07,181.13,594,4.9, 43,"u"
-13.84,170.62,638,4.6, 20,"v"
-30.24,181.63, 80,4.5, 17,"w"
-18.49,169.04,211,4.8, 30,"x"
-23.45,180.23,520,4.2, 19,"y"
-16.04,183.54,384,4.2, 23,"z"
-17.14,185.31,223,4.1, 15,"a"
-22.54,172.91, 54,5.5, 71,"b"
-15.90,185.30, 57,4.4, 19,"c"
-30.04,181.20, 49,4.8, 20,"d"
-24.03,180.22,508,4.2, 23,"e"
-18.89,184.46,242,4.8, 36,"f"
-16.51,187.10, 62,4.9, 46,"g"
-20.10,186.30, 63,4.6, 19,"h"
-21.06,183.81,203,4.5, 34,"i"
-13.07,166.87,132,4.4, 24,"j"
-23.46,180.09,543,4.6, 28,"k"
-19.41,182.30,589,4.2, 19,"l"
-11.81,165.98, 51,4.7, 28,"m"
-11.76,165.96, 45,4.4, 51,"n"
-12.08,165.76, 63,4.5, 51,"o"
-25.59,180.02,485,4.9, 48,"p"
-26.54,183.63, 66,4.7, 34,"q"
-20.90,184.28, 58,5.5, 92,"r"
-16.99,187.00, 70,4.7, 30,"s"
-23.46,180.17,541,4.6, 32,"t"
-17.81,181.82,598,4.1, 14,"u"
-15.17,187.20, 50,4.7, 28,"v"
-11.67,166.02,102,4.6, 21,"w"
-20.75,184.52,144,4.3, 25,"x"
-19.50,186.90, 58,4.4, 20,"y"
-26.18,179.79,460,4.7, 44,"z"
-20.66,185.77, 69,4.3, 25,"a"
-19.22,182.54,570,4.1, 22,"b"
-24.68,183.33, 70,4.7, 30,"c"
-15.43,167.38,137,4.5, 16,"d"
-32.45,181.15, 41,5.5, 81,"e"
-21.31,180.84,586,4.5, 17,"f"
-15.44,167.18,140,4.6, 44,"g"
-13.26,167.01,213,5.1, 70,"h"
-15.26,183.13,393,4.4, 28,"i"
-33.57,180.80, 51,4.7, 35,"j"
-15.77,167.01, 64,5.5, 73,"k"
-15.79,166.83, 45,4.6, 39,"l"
-21.00,183.20,296,4.0, 16,"m"
-16.28,166.94, 50,4.6, 24,"n"
-23.28,184.60, 44,4.8, 34,"o"
-16.10,167.25, 68,4.7, 36,"p"
-17.70,181.31,549,4.7, 33,"q"
-15.96,166.69,150,4.2, 20,"r"
-15.95,167.34, 47,5.4, 87,"s"
-17.56,181.59,543,4.6, 34,"t"
-15.90,167.42, 40,5.5, 86,"u"
-15.29,166.90,100,4.2, 15,"v"
-15.86,166.85, 85,4.5, 22,"w"
-16.20,166.80, 98,4.5, 21,"x"
-15.71,166.91, 58,4.8, 20,"y"
-16.45,167.54,125,4.6, 18,"z"
-11.54,166.18, 89,5.4, 80,"a"
-19.61,181.91,590,4.6, 34,"b"
-15.61,187.15, 49,5.0, 30,"c"
-21.16,181.41,543,4.3, 17,"d"
-20.65,182.22,506,4.3, 24,"e"
-20.33,168.71, 40,4.8, 38,"f"
-15.08,166.62, 42,4.7, 23,"g"
-23.28,184.61, 76,4.7, 36,"h"
-23.44,184.60, 63,4.8, 27,"i"
-23.12,184.42,104,4.2, 17,"j"
-23.65,184.46, 93,4.2, 16,"k"
-22.91,183.95, 64,5.9,118,"l"
-22.06,180.47,587,4.6, 28,"m"
-13.56,166.49, 83,4.5, 25,"n"
-17.99,181.57,579,4.9, 49,"o"
-23.92,184.47, 40,4.7, 17,"p"
-30.69,182.10, 62,4.9, 25,"q"
-21.92,182.80,273,5.3, 78,"r"
-25.04,180.97,393,4.2, 21,"s"
-19.92,183.91,264,4.2, 23,"t"
-27.75,182.26,174,4.5, 18,"u"
-17.71,181.18,574,5.2, 67,"v"
-19.60,183.84,309,4.5, 23,"w"
-34.68,179.82, 75,5.6, 79,"x"
-14.46,167.26,195,5.2, 87,"y"
-18.85,187.55, 44,4.8, 35,"z"
-17.02,182.41,420,4.5, 29,"a"
-20.41,186.51, 63,5.0, 28,"b"
-18.18,182.04,609,4.4, 26,"c"
-16.49,187.80, 40,4.5, 18,"d"
-17.74,181.31,575,4.6, 42,"e"
-20.49,181.69,559,4.5, 24,"f"
-18.51,182.64,405,5.2, 74,"g"
-27.28,183.40, 70,5.1, 54,"h"
-15.90,167.16, 41,4.8, 42,"i"
-20.57,181.33,605,4.3, 18,"j"
-11.25,166.36,130,5.1, 55,"k"
-20.04,181.87,577,4.7, 19,"l"
-20.89,181.25,599,4.6, 20,"m"
-16.62,186.74, 82,4.8, 51,"n"
-20.09,168.75, 50,4.6, 23,"o"
-24.96,179.87,480,4.4, 25,"p"
-20.95,181.42,559,4.6, 27,"q"
-23.31,179.27,566,5.1, 49,"r"
-20.95,181.06,611,4.3, 20,"s"
-21.58,181.90,409,4.4, 19,"t"
-13.62,167.15,209,4.7, 30,"u"
-12.72,166.28, 70,4.8, 47,"v"
-21.79,185.00, 74,4.1, 15,"w"
-20.48,169.76,134,4.6, 33,"x"
-12.84,166.78,150,4.9, 35,"y"
-17.02,182.93,406,4.0, 17,"z"
-23.89,182.39,243,4.7, 32,"a"
-23.07,184.03, 89,4.7, 32,"b"
-27.98,181.96, 53,5.2, 89,"c"
-28.10,182.25, 68,4.6, 18,"d"
-21.24,180.81,605,4.6, 34,"e"
-21.24,180.86,615,4.9, 23,"f"
-19.89,174.46,546,5.7, 99,"g"
-32.82,179.80,176,4.7, 26,"h"
-22.00,185.50, 52,4.4, 18,"i"
-21.57,185.62, 66,4.9, 38,"j"
-24.50,180.92,377,4.8, 43,"k"
-33.03,180.20,186,4.6, 27,"l"
-30.09,182.40, 51,4.4, 18,"m"
-22.75,170.99, 67,4.8, 35,"n"
-17.99,168.98,234,4.7, 28,"o"
-19.60,181.87,597,4.2, 18,"p"
-15.65,186.26, 64,5.1, 54,"q"
-17.78,181.53,511,4.8, 56,"r"
-22.04,184.91, 47,4.9, 47,"s"
-20.06,168.69, 49,5.1, 49,"t"
-18.07,181.54,546,4.3, 28,"u"
-12.85,165.67, 75,4.4, 30,"v"
-33.29,181.30, 60,4.7, 33,"w"
-34.63,179.10,278,4.7, 24,"x"
-24.18,179.02,550,5.3, 86,"y"
-23.78,180.31,518,5.1, 71,"z"
-22.37,171.50,116,4.9, 38,"a"
-23.97,179.91,518,4.5, 23,"b"
-34.12,181.75, 75,4.7, 41,"c"
