"","Climate","HousingCost","HlthCare","Crime","Transp","Educ","Arts","Recreat","Econ","CaseNum","Long","Lat","Pop","StNum"
"89",193,6040,1159,488,5205,2619,2377,3107,3922,89,-92.1129989624023,46.7830009460449,266650,24
"90",537,6501,444,1096,6539,2630,904,1610,6113,90,-89.9830017089844,38.5120010375977,300148,15
"91",257,7078,798,433,3197,2960,1807,1397,5348,91,-91.4710006713867,44.8660011291504,130932,49
"92",592,7343,528,1323,3705,2479,3800,1101,5080,92,-106.480003356934,31.7549991607666,479899,44
"93",521,6573,596,524,4168,2537,353,1023,4214,93,-85.9010009765625,41.6389999389648,137330,16
"94",467,7078,562,582,3324,3000,1048,1600,4813,94,-76.806999206543,42.0929985046387,97656,35
"95",461,6829,626,845,2312,2764,215,1200,8268,95,-97.875,36.3950004577637,62820,37
"96",605,7715,529,635,5754,2641,2032,1340,4299,96,-80.072998046875,42.1129989624023,279780,39
"97",741,9370,539,874,5293,3118,2631,3400,3045,97,-122.981002807617,43.9519996643066,275226,38
"98",550,6743,783,864,3496,2797,1876,1622,5206,98,-87.5749969482422,37.9700012207031,276252,16
"99",643,9017,900,861,4602,2439,749,2005,4884,99,-71.1009979248047,41.7939987182617,157222,20
"100",148,8168,920,503,6325,2506,2111,1414,5594,100,-96.777000427246,46.8759994506836,137574,29
"101",561,6274,872,1150,4402,3051,844,709,5255,101,-78.8769989013672,35.0550003051758,247160,28
"102",549,6686,594,545,3581,2334,1915,1695,4631,102,-94.150001525879,36.1459999084473,100494,3
"103",507,8252,655,655,2244,2799,270,790,5098,103,-71.7770004272461,42.5550003051758,94018,20
"104",540,7204,724,1671,4912,2511,2163,1355,3724,104,-83.6829986572266,43.0219993591309,450449,23
"105",546,5962,607,516,1454,2427,1021,994,4492,105,-87.6750030517578,34.7999992370605,135065,2
"106",552,6508,818,1334,4963,3109,628,800,4842,106,-79.7679977416992,34.1969985961914,110163,41
"107",490,9951,731,744,2637,2413,1609,4200,6631,107,-105.080001831055,40.4900016784668,149184,6
"108",572,10810,1252,1536,4186,2734,2027,2455,7136,108,-80.1370010375977,26.121000289917,1018200,10
"109",342,9298,546,787,4583,2729,380,4005,7166,109,-81.8730010986328,26.6420001983643,205266,10
"110",602,8842,527,1422,2143,3154,368,2058,7973,110,-80.3270034790039,27.4470005035400,151196,10
"111",482,5784,466,663,3092,2927,145,1736,4849,111,-94.4179992675781,35.3849983215332,162813,3
"112",536,7554,484,544,2886,2809,87,2092,6342,112,-86.6510009765625,30.761999130249,109920,10
"113",509,6733,1060,710,5416,2772,2846,1711,4195,113,-85.1419982910156,41.0719985961914,354156,16
"114",528,7956,1038,1348,4472,2627,6466,2366,6862,114,-97.1129989624023,32.7369995117188,973138,44
"115",559,9291,369,1483,4388,2407,3596,2984,5746,115,-119.782997131348,36.7319984436035,514621,5
"116",526,5382,622,749,2174,2299,153,300,4220,116,-86.0179977416992,34.0180015563965,103057,2
"117",402,7388,1731,1658,3527,3094,3335,1237,5739,117,-82.3300018310547,29.6599998474121,171371,10
"118",727,7767,1437,1213,3423,2809,1756,3000,6026,118,-94.8440017700195,29.3470001220703,195940,44
"119",483,7641,1364,996,5855,2526,4115,1940,3826,119,-87.4189987182617,41.6150016784668,642781,16
"120",476,7120,43,568,2241,2674,603,1883,5166,120,-73.6449966430664,43.310001373291,109649,35
"121",105,7898,1109,401,5587,2721,1921,1304,5646,121,-97.0370025634766,47.9199981689453,66100,29
"122",513,7780,1274,952,3454,2705,3255,1909,4848,122,-85.6699981689453,42.9630012512207,601680,23
"123",410,7143,667,792,3747,2737,401,2176,4697,123,-111.285003662109,47.5019989013672,80696,27
"124",490,8218,706,994,1641,2854,1254,739,5443,124,-104.693000793457,40.4179992675781,123438,6
"125",367,8401,916,583,3793,2622,2547,1925,5650,125,-88.0070037841797,44.5130004882812,175280,49
"126",626,7064,1694,967,4453,3090,4188,1651,5204,126,-80.0130004882812,36.0419998168945,851851,28
"127",655,6336,1260,1185,3950,3236,2569,1410,5012,127,-82.1729965209961,34.8950004577637,569066,41
"128",568,7763,818,627,3431,2990,825,1491,4477,128,-77.7200012207031,39.6450004577637,113086,21
"129",542,8227,1135,892,3338,2747,2316,1604,4618,129,-84.4810028076172,39.4570007324219,258787,36
"130",556,7891,2087,629,6164,3224,3083,1532,5322,130,-76.833999633789,40.2680015563965,555158,39
"131",516,11652,2521,1279,7120,3628,3616,1790,6307,131,-72.6750030517578,41.7669982910156,715923,7
"132",623,6760,1006,765,2703,2726,188,797,4728,132,-81.3369979858398,35.7369995117188,202711,28
"133",717,17021,1298,891,5911,2502,7168,3703,5187,133,-126.056999206543,31.7360000610352,762565,12
"134",427,7094,583,400,1145,1995,725,2700,6662,134,-90.7699966430664,29.6959991455078,176876,19
"135",424,9760,2467,1499,4626,3271,11073,1825,7464,135,-95.0029983520508,29.8339996337891,2735766,44
"136",636,6632,875,665,4001,2525,2195,840,4383,136,-82.5240020751953,38.435001373291,336410,50
"137",600,6283,685,924,2661,2257,1921,1075,6412,137,-86.5869979858398,34.7319984436035,196966,2
"138",557,7012,2243,1000,5804,2690,6348,1906,5082,138,-86.1549987792969,39.7700004577637,1166575,16
"139",434,9429,2437,830,2770,2842,2255,1506,5165,139,-91.5350036621094,41.6619987487793,81717,13
"140",518,6794,679,1021,4800,2654,323,1933,3822,140,-84.4000015258789,42.2470016479492,151495,23
"141",412,7245,1792,1091,4917,3130,3209,1427,5186,141,-90.1949996948242,32.3320007324219,362038,26
"142",457,6626,1181,1211,5611,3048,2162,2884,6139,142,-81.656997680664,30.3299999237061,722252,10
"143",564,6111,740,967,1780,2646,567,1177,6386,143,-77.4300003051758,34.7480010986328,112784,28
"144",466,7447,700,858,3092,2532,1092,1615,4371,144,-89.0260009765625,42.5950012207031,139420,49
"145",601,8810,1759,1434,4982,2574,7420,1001,4889,145,-74.0670013427734,40.7280006408691,556972,32
"146",663,6119,1152,424,2532,2925,1925,2155,4903,146,-82.333999633789,36.5149993896484,433638,43
"147",547,6524,731,353,4343,2691,666,903,4181,147,-78.9199981689453,40.3250007629395,264506,39
"148",479,9327,1058,837,4645,2868,3177,1636,4631,148,-88.0800018310547,41.5270004272461,355042,15
"149",580,5159,500,628,2335,2871,80,801,5324,149,-94.4670028686523,37.0830001831055,127513,25
"150",527,7919,1043,1120,5419,2896,2071,2163,4794,150,-85.5830001831055,42.2900009155273,212378,23
"151",483,7230,609,976,3444,2855,75,1119,5579,151,-87.8669967651367,41.117000579834,102926,15
"152",549,8126,1711,1142,5006,3028,1167,1045,6166,152,-94.625,39.117000579834,519031,17
"153",549,7076,1939,1468,5869,2949,5553,2043,4865,153,-94.5429992675781,39.0429992675781,914427,25
"154",496,8516,1067,911,4473,2918,3844,2224,5176,154,-87.822998046875,42.5849990844727,123137,49
"155",365,6463,398,733,2862,3167,920,931,6331,155,-97.5339965820312,31.1100006103516,214656,44
"156",670,6692,960,622,4273,2761,3309,2514,5537,156,-83.9179992675781,35.9679985046387,565970,43
"157",512,6616,596,413,1817,2904,285,1000,3429,157,-86.1330032348633,40.4869995117188,103715,16
"158",352,8310,686,676,6096,3027,1466,1953,5648,158,-91.2369995117188,43.8190002441406,91056,49
"159",494,7778,655,465,4956,2945,2235,1814,4333,159,-86.8929977416992,40.4199981689453,121702,16
"160",429,8572,548,1030,5268,2305,1772,1734,9702,160,-92.0199966430664,30.2250003814697,190231,19
"161",469,6921,314,1093,3549,2336,1456,1855,5872,161,-93.2170028686523,30.2280006408691,167223,19
"162",514,13282,1237,822,3422,2607,3746,2435,5755,162,-88.6179962158203,39.6360015869141,440372,15
"163",307,6680,323,1373,3412,2998,309,2513,5594,163,-81.8420028686523,28.0319995880127,321652,10
"164",559,8631,1111,413,3908,3097,1015,1147,5120,164,-76.3079986572266,40.0369987487793,362346,39
"165",480,7907,1371,894,5557,2891,4206,1609,4747,165,-84.4290008544922,42.6699981689453,419750,23
"166",424,6152,465,1050,3322,2827,150,702,5264,166,-99.5029983520508,27.5069999694824,99258,44
"167",552,6962,588,1457,2989,2736,2804,1609,5341,167,-106.777999877930,32.3120002746582,96340,33
"168",556,9906,412,1913,5900,2241,1586,3996,6035,168,-115.147003173828,36.1720008850098,463087,34
"169",513,7497,621,1018,2931,2700,3150,1752,4573,169,-95.2379989624023,38.9630012512207,67640,17
"170",548,10414,1202,909,3575,2479,2111,1879,6527,170,-71.4390029907227,43.1759986877441,339090,20
"171",479,5850,477,1156,2366,2375,1280,1757,6105,171,-98.4120025634766,34.6119995117188,112456,37
"172",490,6876,759,764,2941,2694,736,1853,4444,172,-70.2229995727539,44.0970001220703,84690,22
"173",635,8340,1860,1055,4080,2861,3596,1403,6245,173,-84.4970016479492,38.0480003356934,317629,18
"174",522,6986,741,855,4084,2629,1352,1428,4313,174,-84.1050033569336,40.7350006103516,154795,36
"175",398,8256,775,789,5618,2878,4523,1804,4908,175,-96.6849975585938,40.8230018615723,192884,30
"176",497,7270,1861,1328,4186,2581,2180,1462,5273,176,-92.2720031738281,34.7509994506836,474484,3
"177",500,6608,509,976,2680,2816,334,834,6898,177,-94.5579986572266,32.5209999084473,151752,44
"178",579,8309,1105,609,3629,2582,2565,1602,3301,178,-82.1439971923828,41.4150009155273,274909,36
"179",885,13868,5153,1960,4345,3195,23567,3948,5316,179,-118.217002868652,33.9169998168945,7477503,5
"180",616,6812,2111,937,5420,3028,4916,1942,5402,180,-85.7620010375977,38.2470016479492,956756,18
"181",526,9640,1083,819,3820,2479,3057,1129,6651,181,-71.313003540039,42.6370010375977,243142,20
"182",604,6990,900,1608,4158,2545,3402,1702,5923,182,-101.843002319336,33.5830001831055,211651,44
"183",642,6934,732,643,4909,2803,1079,1439,4926,183,-79.1429977416992,37.4150009155273,141289,46
"184",447,6235,593,783,3144,2651,1435,1204,5659,184,-83.6350021362305,32.8419990539551,263591,11
"185",378,9897,2168,779,6084,3047,5123,1944,5448,185,-89.3929977416992,43.0699996948242,323545,49
"186",404,9860,737,633,4595,2728,475,837,7101,186,-71.4619979858398,42.9949989318848,129305,31
"187",558,6881,303,1072,2876,2871,554,1133,4386,187,-82.5169982910156,40.757999420166,131205,36
"188",238,5345,372,836,2117,2644,1231,1059,5739,188,-98.2429962158203,26.257999420166,283229,44
"189",611,9008,256,728,3512,2797,1856,1416,3692,189,-122.866996765137,42.3230018615723,132456,38
"190",582,8721,517,1039,2560,2814,437,3800,7089,190,-80.6689987182617,28.2450008392334,272959,10
"191",514,7015,2043,1488,6247,2804,4486,1994,5160,191,-90.056999206543,35.125,913472,43
"192",634,10267,2314,2459,5202,2879,4837,4300,5840,192,-80.218002319336,25.6459999084473,1625781,10
"193",559,12135,2589,691,4198,3539,8058,1596,6324,193,-74.5029983520508,40.5800018310547,886383,32
"194",593,11652,884,646,4636,3128,730,1682,6307,194,-72.6549987792969,41.5620002746582,81582,7
"195",603,8672,97,1166,5310,2416,438,1502,9980,195,-102.078002929688,31.9950008392334,82636,44
"196",460,10176,3053,826,4945,3044,8766,2902,4982,196,-87.9820022583008,43.0330009460449,1397143,49
"197",293,9559,3934,906,5606,3013,11714,2158,5843,197,-93.1790008544922,44.9650001525879,2137133,24
"198",442,6704,1469,1511,3345,2779,1764,2164,4565,198,-88.0429992675781,30.6879997253418,443536,2
"199",639,8630,347,1154,2000,2616,631,833,5107,199,-121.001998901367,37.6430015563965,265900,5
"200",615,11660,2482,819,2690,2787,7563,3544,6154,200,-74.0749969482422,40.3520011901855,849211,32
"201",455,6190,331,957,3606,2453,1528,1541,5537,201,-92.1169967651367,32.5,139241,19
"202",483,6754,832,815,3509,2388,1374,1112,4892,202,-86.3079986572266,32.3819999694824,272687,2
"203",530,5800,949,783,4325,2965,2498,1428,3980,203,-85.3870010375977,40.1920013427734,128587,16
"204",580,6391,699,1537,3353,2630,529,2666,3708,204,-86.2600021362305,43.2280006408691,157589,23
"205",538,10757,853,452,3320,2728,2122,1523,6962,205,-71.4619979858398,42.7569999694824,142527,31
"206",600,7800,1850,984,5030,2763,4342,1849,5938,206,-86.7639999389648,36.1609992980957,850505,43
"207",656,11138,3919,566,2119,3234,8640,3705,7371,207,-73.375,40.6780014038086,2605813,35
"208",643,8087,519,1012,3219,2439,766,1450,4937,208,-70.9300003051758,41.6370010375977,166699,20
"209",516,10509,1245,903,4900,3128,1360,1217,6470,209,-72.7829971313477,41.6679992675781,142241,7
"210",583,11460,2068,893,5938,3495,7852,1604,5478,210,-72.8509979248047,41.4179992675781,500474,7
"211",583,10218,556,633,4505,3244,1164,2281,6672,211,-72.0950012207031,41.443000793457,250839,7
"212",498,8515,2586,1604,4579,2995,7978,3500,6453,212,-90.063003540039,29.9629993438721,1256256,19
"213",638,13358,7850,2498,8625,2984,56745,3579,5338,213,-73.879997253418,40.8489990234375,8274961,35
"214",601,14220,4106,1461,3514,3362,14224,1818,5690,214,-74.1719970703125,40.7369995117188,1878959,32
"215",554,7686,507,775,5561,2538,966,1873,4463,215,-79.056999206543,43.0970001220703,227354,35
"216",632,8568,1932,997,3215,3014,7087,2964,5866,216,-76.2269973754883,36.8899993896484,1160311,46
"217",648,20151,2530,625,3536,3029,7273,2268,6432,217,-73.3649978637695,41.1230010986328,126692,7
"218",910,13135,2362,1533,6430,2646,6162,2394,5457,218,-122.267997741699,37.8079986572266,1761759,5
"219",333,6750,489,1327,3798,2864,266,3095,7060,219,-82.1350021362305,29.1849994659424,122488,10
"220",603,6689,384,1698,1944,2721,259,900,7565,220,-102.375,31.8579998016357,115374,44
"221",554,7186,1623,1297,4459,2908,4843,1742,8119,221,-97.3040008544922,35.2960014343262,860969,37
"222",726,8263,338,752,4083,2625,708,1451,4912,222,-122.889999389648,47.0449981689453,124264,48
"223",440,7128,2559,1008,5806,3069,3787,1977,5853,223,-96.0080032348633,41.2830009460449,585122,30
"224",509,10173,1574,804,3299,2754,6987,1866,5822,224,-74.4130020141602,41.4529991149902,259603,35
"225",457,8196,765,1671,5887,2976,2681,2881,7413,225,-81.3769989013672,28.5529994964600,700055,10
"226",524,6760,812,568,2273,2491,804,852,6062,226,-87.1129989624023,37.7680015563965,85949,18
"227",890,14000,1106,791,2238,2155,2769,2135,5514,227,-119.203002929688,34.2369995117188,529174,5
"228",536,6373,201,1344,2778,2500,755,2089,6083,228,-85.6969985961914,30.2689990997314,97740,10
"229",617,6657,665,488,4399,2503,91,1148,5187,229,-81.4499969482422,39.4129981994629,157914,36
"230",584,6248,593,591,1750,1701,155,1956,4491,230,-88.5490036010742,30.3680000305176,118015,26
"231",586,9462,1117,744,4738,3058,480,1513,5154,231,-71.3949966430664,41.943000793457,307403,40
"232",536,6479,563,1472,2918,2914,1954,2160,6029,232,-87.4059982299805,30.6609992980957,289782,10
"233",491,8388,1184,921,2967,2452,2294,1688,4073,233,-89.5920028686523,40.693000793457,365864,15
"234",630,8310,5158,1059,5903,3781,17270,1979,5638,234,-75.1630020141602,39.9500007629395,4716818,39
"235",536,8921,1584,1268,4729,2942,4573,2472,6415,235,-112.072998046875,33.4550018310547,1509052,4
"236",463,5674,617,1169,1671,2554,373,793,4247,236,-92.0169982910156,34.2229995727539,90718,3
"237",586,8099,3413,687,5616,3544,11069,2145,5261,237,-80.0080032348633,40.4370002746582,2218870,39
"238",482,7807,694,638,3759,3264,228,1420,5483,238,-73.2529983520508,42.4469985961914,83490,20
"239",483,8100,834,823,5185,2973,2351,3366,6186,239,-70.2300033569336,43.6780014038086,193831,22
"240",768,9912,1590,1504,5947,3343,5160,2532,4535,240,-122.364997863770,45.5470008850098,1105699,38
"241",469,9966,596,475,2321,3026,165,1390,8367,241,-70.8710021972656,43.189998626709,190938,31
"242",488,9981,355,633,4166,2898,785,1670,6746,242,-73.9300003051758,41.7019996643066,245055,35
"243",586,9274,2467,998,5474,3558,6152,2263,5154,243,-71.406997680664,41.8170013427734,618514,40
"244",500,9321,198,485,4546,2618,1985,3300,3459,244,-111.678001403809,40.2719993591309,218106,45
"245",497,6637,468,1181,3501,2653,1307,1619,4646,245,-104.605003356934,38.2400016784668,125972,6
"246",496,8943,931,1055,3558,2732,1171,2016,4415,246,-87.8000030517578,42.7270011901855,173132,49
"247",647,8230,3476,981,6544,3455,5730,1606,6405,247,-78.7649993896484,35.8839988708496,561222,28
"248",614,7614,1154,522,3120,3028,1108,1549,5587,248,-75.9280014038086,40.3279991149902,312509,39
"249",664,8584,274,892,5727,2471,845,2424,4459,249,-122.400001525879,40.5820007324219,115715,5
"250",535,12449,615,1116,6767,2529,2210,2386,5677,250,-119.806999206543,39.5229988098145,193623,34
"251",664,8461,300,779,4714,1728,529,1204,5326,251,-119.194999694824,46.2589988708496,144469,48
"252",585,8343,2448,1076,6680,2940,5697,1943,5870,252,-77.4250030517578,37.3849983215332,761311,46
"253",615,9754,2201,1475,3141,2596,5327,1918,4923,253,-117.337997436523,34.0439987182617,1558182,5
"254",652,7476,1036,784,3872,2723,1263,2036,5287,254,-79.936996459961,37.2729988098145,220393,46
"255",308,9193,2966,437,4399,2134,769,1503,6099,255,-92.4629974365234,44.0229988098145,92006,24
"256",536,8609,1969,894,5165,3582,6956,2659,6304,256,-77.6080017089844,43.1580009460449,971230,35
"257",466,7584,969,1156,2987,2680,1026,933,4592,257,-89.0979995727539,42.2680015563965,279514,15
"258",576,9855,1027,1363,5097,2793,4483,2306,5309,258,-121.489997863770,38.5849990844727,1099814,5
"259",515,7368,1022,1068,3186,2772,1708,2059,3709,259,-84.0179977416992,43.5509986877441,421518,23
"260",195,7235,603,343,4565,2502,1871,1572,5488,260,-94.1620025634766,45.5660018920898,163256,24
"261",475,5589,223,969,2689,2927,879,1265,5991,261,-94.8379974365234,39.7669982910156,87888,25
"262",537,7605,2850,1306,7119,3530,8896,2243,5800,262,-90.193000793457,38.617000579834,1808621,25
"263",716,8378,749,1014,4732,3278,691,1873,3835,263,-123.027999877930,44.9169998168945,249895,38
"264",644,11622,1232,490,3459,2729,3276,2234,6309,264,-70.781997680664,42.5760002136230,258175,20
"265",843,13838,352,1107,4160,2439,1004,3179,5656,265,-121.801002502441,36.6339988708496,290444,5
"266",541,9466,1631,969,6228,2340,5528,3900,4942,266,-111.934997558594,40.8819999694824,910222,45
"267",488,6321,236,1032,2938,2707,1301,1136,7720,267,-100.436996459961,31.4629993438721,84784,44
"268",398,6898,1337,1197,5387,2938,4295,1509,6873,268,-98.495002746582,29.4230003356934,1071954,44
"269",903,14465,2416,1099,5489,2794,8818,3347,5489,269,-117.152999877930,32.7130012512207,1861846,5
"270",910,17158,3726,1619,8299,3371,14226,4600,6063,270,-122.416999816895,37.7750015258789,1488871,5
"271",850,16048,2117,1065,5224,2709,6446,1964,7270,271,-121.883003234863,37.3349990844727,1295071,5
