"","BodyWgt","BrainWgt","NonD","Dream","Sleep","Span","Gest","Pred","Exp","Danger"
"44",1.62000000476837,11.3999996185303,11.8999996185303,1.79999995231628,13.6999998092651,13,17,2,1,2
"45",192,180,6.5,1.89999997615814,8.39999961853027,27,115,4,4,4
"46",2.5,12.1000003814697,7.5,0.899999976158142,8.39999961853027,18,31,5,5,5
"47",4.28800010681152,39.2000007629395,NA,NA,12.5,13.6999998092651,63,2,2,2
"48",0.280000001192093,1.89999997615814,10.6000003814697,2.59999990463257,13.1999998092651,4.69999980926514,21,3,1,3
"49",4.23500013351440,50.4000015258789,7.40000009536743,2.40000009536743,9.80000019073486,9.80000019073486,52,1,1,1
"50",6.80000019073486,179,8.39999961853027,1.20000004768372,9.60000038146973,29,164,2,3,2
"51",0.75,12.3000001907349,5.69999980926514,0.899999976158142,6.59999990463257,7,225,2,2,2
"52",3.59999990463257,21,4.90000009536743,0.5,5.40000009536743,6,225,3,2,3
"53",14.8299999237061,98.1999969482422,NA,NA,2.59999990463257,17,150,5,5,5
"54",55.5,175,3.20000004768372,0.600000023841858,3.79999995231628,20,151,5,5,5
"55",1.39999997615814,12.5,NA,NA,11,12.6999998092651,90,2,2,2
"56",0.0599999986588955,1,8.10000038146973,2.20000004768372,10.3000001907349,3.5,NA,3,1,2
"57",0.899999976158142,2.59999990463257,11,2.29999995231628,13.3000001907349,4.5,60,2,1,2
"58",2,12.3000001907349,4.90000009536743,0.5,5.40000009536743,7.5,200,3,1,3
"59",0.104000002145767,2.5,13.1999998092651,2.59999990463257,15.8000001907349,2.29999995231628,46,3,2,2
"60",4.19000005722046,58,9.69999980926514,0.600000023841858,10.3000001907349,24,210,4,3,4
"61",3.5,3.90000009536743,12.8000001907349,6.59999990463257,19.3999996185303,3,14,2,1,1
"62",4.05000019073486,17,NA,NA,NA,13,38,3,1,1
